subjID	trial	choice	gain	loss
0	0	2	0	0
0	1	3	0	-1
0	2	1	0	0
0	3	1	1	-1
0	4	2	0	0
0	5	3	0	0
0	6	1	1	0
0	7	1	1	0
0	8	1	0	0
0	9	1	0	0
0	10	3	0	0
0	11	2	0	0
0	12	3	0	0
0	13	1	0	0
0	14	1	0	0
0	15	1	0	0
0	16	2	0	0
0	17	2	0	0
0	18	1	0	0
0	19	2	1	0
0	20	2	0	0
0	21	2	0	0
0	22	3	0	0
0	23	2	1	0
0	24	2	0	0
0	25	2	0	-1
0	26	3	0	0
0	27	3	0	0
0	28	2	0	-1
0	29	3	0	0
0	30	1	0	-1
0	31	2	1	0
0	32	1	1	0
0	33	3	0	0
0	34	3	1	0
0	35	3	1	-1
0	36	2	0	0
0	37	1	0	0
0	38	3	0	0
0	39	3	0	0
0	40	3	1	0
0	41	1	1	0
0	42	3	0	0
0	43	3	0	0
0	44	1	0	0
0	45	1	0	0
0	46	2	0	0
0	47	3	0	0
0	48	1	0	0
0	49	2	1	-1
0	50	1	0	0
0	51	3	0	0
0	52	1	0	0
0	53	2	0	-1
0	54	3	0	0
0	55	3	1	0
0	56	1	0	0
0	57	2	0	0
0	58	2	1	0
0	59	2	0	-1
0	60	1	0	0
0	61	3	1	-1
0	62	1	0	0
0	63	3	1	0
0	64	3	1	0
0	65	3	1	0
0	66	3	1	0
0	67	3	0	0
0	68	3	0	0
0	69	3	1	0
0	70	3	0	0
0	71	3	0	0
0	72	3	1	0
0	73	3	0	0
0	74	3	0	0
0	75	3	0	0
0	76	3	0	0
0	77	3	0	0
0	78	3	0	0
0	79	2	0	-1
0	80	1	1	0
0	81	3	0	0
0	82	1	0	0
0	83	1	1	-1
0	84	3	0	0
0	85	1	0	0
0	86	1	0	0
0	87	1	0	0
0	88	3	0	0
0	89	1	0	0
0	90	3	1	0
0	91	3	0	0
0	92	3	0	0
0	93	3	0	0
0	94	3	0	0
0	95	1	0	0
0	96	3	0	0
0	97	3	0	0
0	98	1	0	0
0	99	1	0	0
0	100	3	0	0
0	101	1	0	0
0	102	3	0	0
0	103	3	0	0
0	104	1	0	0
0	105	2	0	0
0	106	2	0	0
0	107	3	0	0
0	108	3	0	0
0	109	3	1	0
0	110	3	1	0
0	111	3	0	0
0	112	3	0	-1
0	113	1	1	0
0	114	1	0	0
0	115	1	1	0
0	116	1	1	0
0	117	1	1	0
0	118	1	0	-1
0	119	2	0	0
0	120	1	0	0
0	121	2	0	0
0	122	3	0	-1
0	123	1	0	0
0	124	3	0	0
0	125	1	0	0
0	126	1	0	0
0	127	3	0	0
0	128	2	0	0
0	129	3	0	0
0	130	3	1	0
0	131	3	0	-1
0	132	1	0	0
0	133	2	0	0
0	134	3	1	0
0	135	3	1	0
0	136	3	1	0
0	137	3	0	0
0	138	3	0	0
0	139	3	0	0
0	140	3	0	0
0	141	3	0	0
0	142	3	0	0
0	143	1	0	0
0	144	2	0	-1
0	145	3	0	-1
0	146	1	0	0
0	147	2	1	-1
0	148	3	0	-1
0	149	1	0	0
0	150	1	1	0
0	151	1	1	0
0	152	2	0	0
0	153	1	1	0
0	154	1	0	0
0	155	1	0	0
0	156	1	0	0
0	157	2	0	0
0	158	1	0	0
0	159	1	0	0
1	0	2	1	0
1	1	2	0	0
1	2	3	1	-1
1	3	2	0	0
1	4	2	0	0
1	5	2	0	0
1	6	3	0	0
1	7	2	0	0
1	8	3	0	0
1	9	1	0	-1
1	10	3	0	-1
1	11	2	0	0
1	12	1	0	0
1	13	2	1	0
1	14	3	0	0
1	15	2	0	0
1	16	1	0	0
1	17	2	0	0
1	18	1	0	-1
1	19	2	1	0
1	20	2	0	0
1	21	2	0	0
1	22	2	1	0
1	23	2	0	0
1	24	2	0	0
1	25	2	0	-1
1	26	3	0	0
1	27	3	1	0
1	28	3	0	0
1	29	3	0	0
1	30	3	0	0
1	31	2	1	0
1	32	2	0	0
1	33	2	0	0
1	34	2	0	0
1	35	1	0	0
1	36	1	0	0
